개최일,부스 위치,자리수,대표작품,계정아이디,계정명,팔로워수,최상단트윗_알티,최상단트윗_마음,최상단트윗_노출수,최상단트윗_내용,multiple_ids
Day1,A1,2sp,데뷔 못하면 죽는 병 걸림,min5ko,근Geun,2.5만,29,82,3만,"일러스트 외주2024년 상,하반기 외주 예약문의 받습니다. (2023년 11월도 가능합니다.)연락은 아래 이메일 주소로 부탁드립니다..!lullu0303@naver.com",
Day1,A10a,1sp,"데뷔못하면죽는병걸림, 데못죽",llllnetillll,neti 님이 재게시함,138,5.1천,823,67만,1월 12일#RT 이벤트내가 뽑는 스파오 콜라보레이션  설문링크 : https://forms.gle/QrcQv9ginKwXwPfo6…여러분들이 애정하는 그 모든 것들을스파오가 콜라보 해드립니다!자유롭게 제안하고 상품도 받아가세요선호도 조사 참여 신상잠옷 5명 증정리트윗만 해도 스파오공홈 5만원 쿠폰 2명 증정,
Day1,A10b,1sp,데못죽,pandagoonS,디페-A10b/아이소-K19a)다군,"2,219",439,140,2.7만,[1월 디페/아이소/통판 폼]2024-01-05(금) 21:03 ~ 2024-01-07(일) 23:50RT 1명을 추첨하여 입체 코롯토 택1+잡지디자인 엽서3종 혹은 메롱포카 1set을 드립니다폼이 복잡하니 신중하게 선택해주세요굿즈+전연령폼 : https://witchform.com/deposit_form.php?idx=546826…성인본 회지 : https://witchform.com/payform/URRBJ5P9TE…,
Day1,A12,2sp,데뷔 못하면 죽는 병 걸림,amibean,레이지빈(DO NOT REPOST),"8,790",425,206,4.8만,[RT] 1월 디페/아이소 현장수령+통판폼현장 1/6 21:07 ~ 1/8 21:07통판 1/6 21:07 ~ 1/11 21:07디페/아이소 선입금 현장수령/통판폼입니다!자세한 것은 링크 참조해주세요G.O.는 따로 DM 주세요 :)디페https://witchform.com/payform/?uuid=IDTW4URYUJ…아이소더 보기,
Day1,A13,2sp,데못죽,Jichu_Loviewer,디페A13 지츄,1.3만,290,376,4.9만,https://witchform.com/demand_form.php?idx=77430…<판스티커 통판 수요조사 ~7/9 23:59>안녕하세요! 판스티커 통판 수요조사 폼입니다! 해당 폼 내용을 한번씩 꼭 읽어주세요! 수요조사에 따라 결정이 될것같아 구매를 원하시는 분들은 꼭 참여해주세요! 감사합니다!!ฅ^._.^ฅ,
Day1,A14,2sp,데뷔 못 하면 죽는 병 걸림,onedogsing,배수진@토 a14/일 i21,40,샘플은 통판 폼 내부를 확인해 주세요!,6,3.1천,"못죽 청배(청우배세), 갑탐 뱅상(병찬상호) 재고 상시 통판 폼입니다. 재고가 소진될 때까지는 열려 있습니다.https://witchform.com/deposit_form.php?idx=518122…",
Day1,A15,2sp,데못죽,M_u_L_i_Y_a,無理,305,3,5,1만,𝑴𝒖𝑳𝒊  https://tobe.aladin.co.kr/t/muli http://muliya.modoo.at,
Day1,A16,4sp,데뷔 못 하면 죽는 병 걸림,Hwiyyen,《디페A16/아이소L3b》일월광천(개의 마감) 휘옌 님이 재게시함,206,4,3,177,1시간찰떡라떼,
Day1,A19b,1sp,데뷔 못 하면 죽는 병 걸림,hasan_samdea,화삼,412,1,7,1만,메인트다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경,
Day1,A20,2sp,데못죽,ANu_loviewer,아현아누나야 (디페 A20/아이소 L14 ),798,96,287,9.5천,[엋문 굿모닝 시리즈]문대,
Day1,A21,2sp,데뷔 못하면 죽는 병 걸림,mrmhrro,마론,55,2020년 9월 15일,*main*,1,,
Day1,A22,2sp,프로젝트 세카이,imbongg4,,41,0,0,0,,
